标题,开发商,房子信息,发布周期,售价/万,单价
中天自住精装诚心出售 品牌家具家电  满五唯一,中天栖溪里 -洋湖垸,3室2厅 | 128.19平米 | 南 | 其他 | 低楼层(共16层) | 2012年建 | 板塔结合,1人关注 / 5天以前发布,245,"19,113元/平"
房子满五唯一，中高楼层，自住装修，拎包入住,北辰三角洲E6区 -北辰三角洲,3室2厅 | 104.46平米 | 南 | 精装 | 高楼层(共40层)  | 板楼,2人关注 / 3天以前发布,180,"17,232元/平"
精装小三房 格局装修完全不用动 直接入住,万芙锦城 -铁道学院,3室2厅 | 108.82平米 | 南 北 | 精装 | 高楼层(共27层) | 2013年建 | 板塔结合,0人关注 / 6天以前发布,128.8,"11,837元/平"
小区环境优美 人车分流 百强物业 楼下购物方便,中海国际社区三期 -含浦,4室2厅 | 130.34平米 | 南 北 | 精装 | 低楼层(共33层) | 2013年建 | 板塔结合,1人关注 / 22天以前发布,159.99,"12,275元/平"
急售 广电单位房 归心苑 纯板楼毛坯 价格便宜,归心·苑 -广电,5室2厅 | 192.83平米 | 南 | 毛坯 | 高楼层(共26层)  | 塔楼,1人关注 / 13天以前发布,219,"11,358元/平"
格兰小镇 居家装修 不靠马路 别墅小区的洋房,格兰小镇 -暮云,6室2厅 | 220.09平米 | 南 | 精装 | 高楼层(共5层)  | 板楼,2人关注 / 8天以前发布,308,"13,995元/平"
尚双塘地铁口德泽苑单位房精装房中楼层双阳台南北通透,德泽苑 -暮云,3室2厅 | 126.13平米 | 南 北 | 精装 | 中楼层(共16层)  | 板楼,0人关注 / 13天以前发布,89.8,"7,120元/平"
银桂苑精装5房 满五唯一 带中yang空调,银桂苑 -省政府,5室1厅 | 184.61平米 | 南 北 | 精装 | 低楼层(共9层) | 2010年建 | 板楼,1人关注 / 3天以前发布,180,"9,751元/平"
罕见的南向户型，小区中间位置，满五唯一省个税,保利香槟国际 -万家丽北,3室2厅 | 106.63平米 | 北 南 | 毛坯 | 中楼层(共27层) | 2014年建 | 塔楼,0人关注 / 7天以前发布,92,"8,628元/平"
韶山南路，七号线地铁口，业主自住装修,恒盛世家 -铁道学院,3室2厅 | 121.91平米 | 南 | 精装 | 中楼层(共11层) | 2008年建 | 板塔结合,2人关注 / 8天以前发布,125,"10,254元/平"
价格便宜 满五唯一 入师梅 户型好 诚心出售,梅溪湖壹号三期 -梅溪湖南岸,3室2厅 | 113.68平米 | 南 | 简装 | 低楼层(共33层) | 2018年建 | 板楼,0人关注 / 5天以前发布,193.8,"17,048元/平"
滨江海棠湾 3室2厅 南 北,滨江海棠湾 -观沙岭,3室2厅 | 92.49平米 | 南 北 | 毛坯 | 中楼层(共31层) | 2013年建 | 板塔结合,0人关注 / 7天以前发布,90,"9,731元/平"
满五唯一，山景房，自住装修，南北通透。四室二厅两卫,珠江东方明珠 -金星北,4室2厅 | 137平米 | 南 北 | 其他 | 高楼层(共25层)  | 板塔结合,0人关注 / 7天以前发布,115,"8,395元/平"
悦峰园 3室2厅 南 北,悦峰园 -商学院,3室2厅 | 122.18平米 | 南 北 | 简装 | 中楼层(共6层) | 2006年建 | 板塔结合,0人关注 / 6天以前发布,134.5,"11,009元/平"
业主急售，诚心出售，价格可谈，诚意出售。 临校地铁,佳兆业云顶梅溪湖 -梅溪湖南岸,3室1厅 | 107.41平米 | 南 | 毛坯 | 低楼层(共31层) | 2014年建 | 塔楼,0人关注 / 2天以前发布,178,"16,573元/平"
小姐姐 2016年毛坯自住装修 现代风格 满五唯一 视野好,金色比华利 -月湖,3室2厅 | 120.72平米 | 南 | 精装 | 中楼层(共18层)  | 塔楼,0人关注 / 5天以前发布,111,"9,195元/平"
免个税 6字头 出门就行商圈 配套齐全 户型正,星城国际 -泉塘,3室2厅 | 117.2平米 | 南 | 精装 | 中楼层(共9层)  | 板楼,1人关注 / 7天以前发布,72,"6,144元/平"
急售 急售 市政府板块 次新小区 满五唯一 居家装修,奥克斯缔壹城 -雷锋大道,3室2厅 | 91.18平米 | 南 | 精装 | 低楼层(共33层) | 2015年建 | 塔楼,0人关注 / 5天以前发布,112,"12,284元/平"
清水毛坯，动静分区客厅出阳台   业主诚心出售,大鸿杰座 -雨花亭,3室2厅 | 130.17平米 | 南 北 | 毛坯 | 低楼层(共33层) | 2014年建 | 塔楼,0人关注 / 6天以前发布,177.8,"13,660元/平"
梅溪湖南岸 南北通风双阳台 四房 满五唯一 中间楼层,卓越浅水湾 -梅溪湖南岸,4室2厅 | 126.37平米 | 南 | 毛坯 | 中楼层(共44层) | 2014年建 | 板塔结合,0人关注 / 5天以前发布,210,"16,618元/平"
精装大三房，月亮岛江边步行可达，罐子岭站300米,长燃新奥佳园 -金星北,3室2厅 | 131平米 | 南 | 精装 | 高楼层(共33层) | 2013年建 | 板塔结合,1人关注 / 8天以前发布,142.8,"10,901元/平"
旭辉品质 价格美丽 品牌物业 诚心卖 随时看房,旭辉香樟公馆 -树木岭,3室2厅 | 95.24平米 | 南 | 简装 | 低楼层(共34层) | 2016年建 | 板塔结合,0人关注 / 5天以前发布,103,"10,815元/平"
新华联梦想城 5室2厅 南,新华联梦想城 -金星北,5室2厅 | 133.95平米 | 南 | 毛坯 | 11层 | 2017年建 | 板楼,0人关注 / 5天以前发布,110,"8,213元/平"
华润凤凰城二期 3室1厅 南,华润凤凰城二期 -开元路,3室1厅 | 83.99平米 | 南 | 简装 | 中楼层(共34层) | 2014年建 | 板塔结合,0人关注 / 5天以前发布,75,"8,930元/平"
人车分流次新小区，高楼层视野好，随时看房,紫云阁 -泉塘,3室1厅 | 109.71平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 6天以前发布,75.8,"6,910元/平"
婚庆公园旁 长房白沙湾 自住精装拎包入住3房 花园位置,长房白沙湾 -马王堆,3室1厅 | 126.23平米 | 南 北 | 精装 | 高楼层(共21层) | 2015年建 | 板楼,0人关注 / 5天以前发布,170,"13,468元/平"
铁道学院地铁口，116平方米精装三房,博林金谷 -新开铺,3室2厅 | 116平米 | 东南 | 精装 | 中楼层(共22层) | 2008年建 | 板楼,0人关注 / 2天以前发布,138,"11,897元/平"
格林星城南北通透四房，自住装修，随时看房,格林星城 -金星中路,4室2厅 | 146.66平米 | 南 北 | 精装 | 高楼层(共18层) | 2007年建 | 板塔结合,1人关注 / 6天以前发布,158,"10,774元/平"
满五唯一 中间楼层 万科墅区小三房  随时可看！,万科金域华府 -武广新城,3室2厅 | 91.88平米 | 西南 | 精装 | 低楼层(共34层)  | 板塔结合,0人关注 / 2天以前发布,123,"13,388元/平"
央企保利，物业服务好，人车分流，配套齐全,保利香槟国际 -万家丽北,3室1厅 | 89.36平米 | 南 | 毛坯 | 高楼层(共27层)  | 塔楼,0人关注 / 3天以前发布,78.8,"8,819元/平"
﻿标题,开发商,房子信息,发布周期,售价/万,单价
户型周正，保养好.................,阳光100国际新城二期 -阳光100,4室2厅 | 160.1平米 | 南 北 | 精装 | 中楼层(共12层) | 2009年建 | 板楼,1人关注 / 22天以前发布,165,"10,307元/平"
两梯两户纯板楼，业主自住精装，带家具家电车位诚售,嘉福长安郡 -德思勤,4室2厅 | 150.57平米 | 南 北 | 精装 | 高楼层(共18层) | 2012年建 | 板楼,1人关注 / 24天以前发布,208,"13,815元/平"
地铁口 王F井 步步高 童话森林环境 精装修,西点公园里 -河西步步高,5室2厅 | 246.5平米 | 南 | 精装 | 低楼层(共27层) | 2016年建 | 板楼,5人关注 / 28天以前发布,352.8,"14,313元/平"
世纪城悦江苑江边栋 精装修大三房 带车位 诚意出售,世纪城悦江苑 -湘江世纪城,3室2厅 | 140.66平米 | 南 北 | 精装 | 低楼层(共33层) | 2010年建 | 塔楼,0人关注 / 22天以前发布,175,"12,442元/平"
北辰三角洲君悦香邸3+1格局 中间楼层 精装修拎包入住,君悦香邸 -北辰三角洲,3室2厅 | 120.24平米 | 东南 | 精装 | 中楼层(共33层) | 2007年建 | 板塔结合,2人关注 / 31天以前发布,150,"12,476元/平"
德泽苑 正规五房 不靠马路 中间楼层 业主急卖 随时看,德泽苑 -暮云,5室2厅 | 171.6平米 | 南 | 毛坯 | 中楼层(共12层)  | 板楼,2人关注 / 23天以前发布,112,"6,527元/平"
双地铁口，次新小区，业主诚心出售,湘腾琴岛 -商学院,4室2厅 | 124.09平米 | 西南 | 精装 | 高楼层(共29层) | 2014年建 | 塔楼,4人关注 / 19天以前发布,206,"16,601元/平"
江景视野好四号线地铁口 交通便利 诚心出售户型周正,华韵城市海岸 -银盆岭,4室2厅 | 163.2平米 | 南 北 | 毛坯 | 高楼层(共31层) | 2014年建 | 塔楼,1人关注 / 24天以前发布,245,"15,013元/平"
和美星城 中间位置 带车位 拆 迁户可以直接购买,和美星城 -暮云,4室2厅 | 166.35平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 23天以前发布,141,"8,477元/平"
天心区省府板块 1号线旁 高档小区 清水毛坯3+1带车位,鑫远尚玺苑二期 -省政府,4室2厅 | 125.1平米 | 南 | 毛坯 | 高楼层(共14层) | 2016年建 | 板塔结合,2人关注 / 23天以前发布,178,"14,229元/平"
中间栋中间楼层~景观视野~毛坯大四房。南北通透双阳台,长城水郡 -汽车南站,4室2厅 | 172.58平米 | 南 北 | 毛坯 | 中楼层(共16层) | 2015年建 | 板楼,2人关注 / 29天以前发布,139.88,"8,106元/平"
正规四房 36万装修 视野开阔 五矿央企,五矿格澜郡 -暮云,4室2厅 | 129.49平米 | 南 | 精装 | 高楼层(共16层)  | 板楼,2人关注 / 28天以前发布,117,"9,036元/平"
中间楼层 清水毛坯 产权证在手 接受按揭,德泽苑 -暮云,3室2厅 | 128.03平米 | 南 | 毛坯 | 高楼层(共17层) | 2013年建 | 板楼,3人关注 / 16天以前发布,79.6,"6,218元/平"
户型周正，中高层采光充足，位置安静，好楼层,钱隆世家 -金霞,3室2厅 | 109平米 | 南 | 其他 | 低楼层(共33层) | 2016年建 | 板塔结合,0人关注 / 18天以前发布,102,"9,358元/平"
橡树湾小区 3室2厅 南 北,橡树湾小区 -含浦,3室2厅 | 109.1平米 | 南 北 | 精装 | 高楼层(共34层)  | 板塔结合,3人关注 / 24天以前发布,129,"11,825元/平"
地铁口次新小区时代倾城，中高楼层,时代倾城 -金星北,2室2厅 | 87.34平米 | 南 | 精装 | 高楼层(共34层) | 2018年建 | 板塔结合,1人关注 / 19天以前发布,86.8,"9,939元/平"
高林仕家，墅质小区。精装两房朝南。采光好。随时看房,高林仕家 -泉塘,2室2厅 | 77.72平米 | 南 | 其他 | 低楼层(共17层) | 2012年建 | 板塔结合,0人关注 / 10天以前发布,62.6,"8,055元/平"
大平层 7字头  买精装 修大四房,麓山慧苑 -含浦,4室2厅 | 185.24平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,2人关注 / 21天以前发布,130,"7,018元/平"
